acteff;activity_efficiency;act_{eff}
acteng_bw;activity_energy_per_body_weight;act_{eng,bw}
acteng_bw_at;activity_energy_spent_per_body_weight;act_{eng,spent}
acteng_bw_b;baseline_activity_energy_per_body_weight;act_{eng,bw,b}
activ_time;activ_time;activ\_time
activ_time_data;activ_time_data;activ\_time\_data
activ_time_param;activ_time_param;activ\_time\_param
at;adaptive_thermogenesis;at
ateff;thermogenesis_effect_on_pae_vs_rmr;at_{eff}
atf;thermogenesis_adaptation;at_{flow}
bm_b;base_bone_mass;bm_b
bw;body_weight;bw
bw_b;baseline_bodyweight;bw_b
c;carb;c
c_b;base_carb;c_b
c_init;carbohydrate_initial;c_0
cal_c;cal_dens_c;cal_c
cal_f;cal_dens_f;cal_f
cal_p;cal_dens_p;cal_p
carb_term;carb_term;carb\_term
carbohydrate_intake_data;carbohydrate_intake_data;carbohydrate\_intake\_data
carbohydrate_intake_param;carbohydrate_intake_param;carbohydrate\_intake\_param
cell_mass;cell_mass;m_{cell}
cell_mass_b;base_cell_mass;m_{cell,b}
ci_0;carbohydrate_intake_zero;ci_0
ci_b;baseline_carbohydrate_intake;ci_b
ci_g;ci;ci_g
ci_input;carbohydrate_intake_input;ci\_input
ci_k;carbohydrate_intake;ci_k
ciw;constant_intracellular_water;ciw
cox_a;actual_carbox;cox_a
cox_d;desired_carbox;cox_d
cox_k;pri_carbox_kcal;cox_k
cox_s;sec_carbox;cox_s
cox_s_k;sec_carbox_kcal;cox_{s,k}
d_ox_tee;diff_bw_ox_and_tee;\Delta_{ox,tee}
dc;glycogenolysis;d_c
dc_b;base_deg_c;d_{c,b}
dci;change_in_carbohydrate_intake;\Delta ci
degc_p;deg_cost_p;degc_p
del_at;delay_in_adaptive_thermogenesis;del_{at}
depc_c;dep_cost_c;depc_c
depc_f;dep_cost_fat;depc_f
depc_p;dep_cost_p;depc_p
df;lipolysis;d_f
df_mol_b;base_molar_lipolysis;d_{f,mol,b}
dnl;dnl;dnl
dnl_b;base_dnl;dnl_b
dnl_i;dnl_in;dnl_i
dnl_o;dnl_out;dnl_o
dnleff;efficiency_dnl;eff_{dnl}
dp;proteolysis;d_p
dp_b;baseline_proteolysis;d_{p,b}
dp_mol_b;molar_baseline_proteolysis;d_{p,mol,b}
dpi;change_in_protein_intake;\Delta pi
ec;ec;ec
ecw;extracel_water;ecw
ecw_b;baseline_ecw;ecw_b
eff_act_pox;eff_of_physical_activity_on_prot_oxidation;eff_{act,pox}
eff_c_dnl;effect_of_glycogen_on_dnl;eff_{c,dnl}
eff_c_dnl_b;base_effect_of_glycogen_on_dnl;eff_{c,dnl,b}
eff_ci_cox;eff_of_carb_intake_on_carb_oxidation;eff_{ci,cox}
eff_ci_df;effect_of_carb_intake_on_lipolysis;eff_{ci,d_f}
eff_ci_gngp;eff_ci_on_gng_p;eff_{ci,gng,p}
eff_dg_cox;eff_of_glycogenolysis_on_carb_oxidation;eff_{dg,cox}
eff_fox_p;eff_of_possible_fatox;eff_{fox_p}
eff_obes_df;effect_of_obesity_on_lipolysis;eff_{obes,d_f}
eff_pi_gngp;eff_pi_on_gng_p;eff_{pi,gng_p}
eff_pi_pox;eff_of_prot_intake_on_prot_oxidation;eff_{pi,pox}
eff_suff_c;eff_of_carb_sufficiency_on_carbox;eff_{suff,c}
exog_glycerol_per_kcal_fat_intake;exog_glycerol_per_kcal_fat_intake;exog\_glycerol\_per\_kcal\_fat\_intake
f;fat;f
f_b;baseline_fat;f_b
f_init;fat_initial;f_0
fat_intake_data;fat_intake_data;fat\_intake\_data
fat_intake_param;fat_intake_param;fat\_intake\_param
fat_term;fat_term;fat\_term
fc;frac_carbox;f_c
fc_s;sec_frac_carb;f_{c,s}
fetw;fraction_extracellular_water_to_total_water;fetw
ff;frac_fatox;f_f
ff_s;sec_frac_fat;f_{f,s}
fi_0;fat_intake_zero;fi_0
fi_b;baseline_fat_intake;fi_b
fi_g;fi;fi_g
fi_input;fat_intake_input;fi\_input
fi_k;fat_intake;fi_k
fi_net_k;net_fat_intake;fi_{net,k}
fiew;fraction_intracellular_water_to_extracellular_water;fiew
fox_a;actual_fatox;fox_a
fox_d;desired_fatox;fox_d
fox_k;pri_fatox_kcal;fox_k
fox_p;possible_fatox;fox_p
fox_s;sec_fatox;fox_s
fox_s_k;sec_fatox_kcal;fox_{k,s}
fp;frac_protox;f_p
fp_s;sec_frac_prot;f_{p,s}
fw;fraction_water_to_body_weight;fw
fwcm;fraction_intracellular_water_to_cell_mass;fwcm
gap;gap_total;gap
gap_c;gap_carbox;gap_c
gap_f;gap_fatox;gap_f
gngeff;efficiency_gng;eff_{gng}
gngf;gng_fat;gng_f
gngf_b;base_gng_fat;gng_{f,b}
gngf_end;gng_fat_endog;gng_{f,end}
gngf_end_b;baseline_gng_fat_endog;gng_{f,end,b}
gngf_ex;gng_fat_exog;gng_{f,ex}
gngf_ex_b;base_gng_fat_exog;gng_{f,ex,b}
gngf_i;gng_fat_in;gng_{f,i}
gngf_o;gng_fat_out;gng_{f,o}
gngp;gng_protein;gng_p
gngp_b;base_gng_p;gng_{p,b}
gngp_i;gng_protein_in;gng_{p,i}
gngp_o;gng_protein_out;gng_{p,o}
hc;glycogen_hydration_coefficient;hc
hill_dnl;hill_dnl;hill_{dnl}
hp;protein_hydration_coefficient;hp
ics;intracel_solids;ics
icw;intracel_water;icw
icw_b;base_intracel_water;icw_b
is_sufficient_carb;is_sufficient_carb;is\_sufficient\_carb
is_sufficient_fat;is_sufficient_fat;is\_sufficient\_fat
k_dnl;k_dnl;k_{dnl}
k_lip;k_lip;k_{lip}
kc;kc_constraint;k_c
kf;kf_constraint;k_f
kp;kp_constraint;k_p
lean;lean_tissues;m_{lean}
lean_b;baseline_lean_mass;m_{lean,b}
lipol_max;lipol_max;lipol_{max}
lipol_min;lipol_min;lipol_{min}
mass_ffa;mass_of_fat_free_acid;m_{ffa}
mass_of_glycerol;mass_of_glycerol;m_{glycerol}
mass_tg;mass_tg;m_{tg}
massaa;aminoacid_mass;m_{aa}
massb;mass_brain;m_{brain}
mbc;metabolism_of_body_cells;mbc
mc;metabolism_of_conversions;mc
mei;metabolizable_energy_intake;mei
mei_b;baseline_metabolizable_energy_intake;mei_b
molar_caloric_dens_glycerol;molar_caloric_dens_glycerol;molar\_caloric\_dens\_glycerol
molar_caloric_dens_tg;molar_caloric_dens_tg;molar\_caloric\_dens\_tg
mt;metabolism_of_turnovers;mt
nacteng_bw;normalized_activity_energy_per_body_weight;n_{acteng_{bw}}
nc;normalized_glycogen_ratio;n_c
ndc;normalized_glycogenolysis;n_{d_c}
ndci;normalized_change_in_carbohydrate_intake;n_{\Delta ci}
ndf;normalized_lipolysis_rate;n_{d_f}
ndmei;effect_of_metabolizable_energy_intake_on_thermogenesis;n_{\Delta mei}
ndp;normalized_proteolysis;n_{d_p}
ndpi;normalized_change_in_protein_intake;n_{\Delta pi}
np;norm_p_ratio;n_p
ox;total_ox;ox
ox_p;total_pri_ox;ox_p
ox_s;total_sec_ox;ox_s
p;protein;p
p_b;baseline_protein;p_b
p_init;protein_initial;p_0
pae;physical_activity_energy;pae
pi_0;protein_intake_zero;pi_0
pi_b;baseline_protein_intake;pi_b
pi_g;pi;pi_g
pi_input;protein_intake_input;pi\_input
pi_k;protein_intake;pi_k
pox_a;actual_protox;pox_a
pox_d;desired_protox;pox_d
pox_k;pri_protox_kcal;pox_k
pox_s;sec_protox;pox_s
pox_s_k;sec_protox_kcal;pox_{k,s}
prot_term;prot_term;prot\_term
protein_fraction_of_cell_mass;protein_fraction_of_cell_mass;protein\_fraction\_of\_cell\_mass
protein_intake_data;protein_intake_data;protein\_intake\_data
protein_intake_param;protein_intake_param;protein\_intake\_param
read_from_data;read_from_data;read\_from\_data
rmr;resting_metabolic_rate;rmr
rmr_b_b;base_rmr_brain;rmr_{brain,b}
rmr_f_b;base_rmr_fat;rmr_{f,b}
rmr_lean;basal_rmr_of_lean_tissues;rmr_{lean}
rmr_lean_b;baseline_basal_rmr_of_lean_tissues;rmr_{lean,b}
rmreff;basal_rmr_efficiency;eff_{rmr}
sa;sensitivity_to_physical_activity;s_{pae}
sci;sensitivity_of_oxidation_to_ci_changes;s_{ci}
see;shared_energy_expenditure;see
see_b;base_shared_energy_expenditure;see_b
spi;sensitivity_of_oxidation_to_pi_changes;s_{pi,ox}
suff_c;carb_sufficiency;suff_c
tc;therm_const;tc
tee;total_energy_expenditure;tee
tee_b;base_total_energy_expenditure;tee_b
tef;thermic_effect_of_food;tef
tef_c;tef_c;tef_c
tef_f;tef_f;tef_f
tef_p;tef_p;tef_p
wci;weighting_of_oxidation_for_basal_ci;w_{ci}
wf;weighting_of_oxidation_for_lipolysis;w_f
wg;weighting_of_oxidation_for_glycogenolysis;w_g
wpi;weighting_of_oxidation_for_basal_pi;w_{pi}
y;y;y
z;z;z
z_check_0;z_check_0;z\_check\_0
z_check_1;z_check_1;z\_check\_1
